id_1,id_2,confidence_score,name_1,name_2,address_1,address_2
21580,71797.0,0.9333333333333332,tampa china dragon inc,china dragon,7893 gunn hwy,7893 gunn hwy
21433,53729.0,0.9333333333333332,triage consignment,triage consignment boutique,4109 henderson blvd,4109 henderson blvd
42210,14584.0,0.9333333333333332,fairway automotive services llc,fairway automotive,8750 watson rd,8750 watson rd
51474,42551.0,0.9333333333333332,jiang china garden llc,china garden,8003 mackenzie rd,8003 mackenzie rd
5722,31636.0,0.9333333333333332,brewers garage -27inv,brewers garage,2929 16th st n,2929 16th st n
73063,52635.0,0.9333333333333332,pat's pizza south street llc,south street pizzeria,1410 south st,1410 south st
9761,47025.0,0.9333333333333332,di coffee bar llc,di coffee bar,214 east davis boulevard,214 e davis blvd
3341,85537.0,0.9333333333333332,intercity lumber company inc,intercity lumber,5301 causeway blvd,5301 causeway blvd
4016,60763.0,0.9333333333333332,maureen georgy palso dds pa,maureen georgy dds,6523 gunn hwy,6523 gunn hwy
69023,52635.0,0.9333333333333332,pat's pizza south street llc,south street pizzeria,1410 south st,1410 south st
68788,28658.0,0.9333333333333332,rebel taco penn llc,rebel taco,111 s independence mall e,111 s independence mall e
4195,60763.0,0.9333333333333332,maureen georgy palso dds pa,maureen georgy dds,6523 gunn hwy,6523 gunn hwy
652,51405.0,0.9333333333333332,live wire electrical services inc,live wire electrical services,12141 62nd street north suite 11,12141 62nd st n unit 11
56285,76237.0,0.9333333333333332,russel s bleiler iii dmd pc,russel bleiler dmd,360 middletown blvd ste 406,360 middletown blvd ste 406
220,31299.0,0.9333333333333332,tampa hyde park cafe' llc,hyde park cafe,1806 w platt st,1806 w platt st
67746,76787.0,0.9333333333333332,la stalla market llc,la stalla italian market,186 n sycamore st,186 n sycamore st
